date,yield
2010-01-04,3.8417500257492065
2010-01-05,3.7735000252723694
2010-01-06,3.794249951839447
2010-01-07,3.831499993801117
2010-01-08,3.8192500472068787
2010-01-11,3.8165000081062317
2010-01-12,3.7325000762939453
2010-01-13,3.7602500319480896
2010-01-14,3.7482500672340393
2010-01-15,3.6865000128746033
2010-01-19,3.7045000195503235
2010-01-20,3.6612499356269836
2010-01-21,3.6414999961853027
2010-01-22,3.605500042438507
2010-01-25,3.6327500343322754
2010-01-26,3.6075000762939453
2010-01-27,3.6265000104904175
2010-01-28,3.6639999747276306
2010-01-29,3.6419999599456787
2010-02-01,3.64300000667572
2010-02-02,3.643499970436096
2010-02-03,3.6892499923706055
2010-02-04,3.6425000429153442
2010-02-05,3.578249990940094
2010-02-08,3.5855000019073486
2010-02-09,3.616249978542328
2010-02-10,3.6607499718666077
2010-02-11,3.7262499928474426
2010-02-12,3.693250000476837
2010-02-16,3.690500020980835
2010-02-17,3.7167500257492065
2010-02-18,3.7639999985694885
2010-02-19,3.796500086784363
2010-02-22,3.7925000190734863
2010-02-23,3.7329999804496765
2010-02-24,3.694499969482422
2010-02-25,3.649250030517578
2010-02-26,3.6112499833106995
2010-03-01,3.612250030040741
2010-03-02,3.6287500858306885
2010-03-03,3.627499997615814
2010-03-04,3.6197500228881836
2010-03-05,3.6574999690055847
2010-03-08,3.7147499322891235
2010-03-09,3.6982499957084656
2010-03-10,3.7267499566078186
2010-03-11,3.730000078678131
2010-03-12,3.731000006198883
2010-03-15,3.706249952316284
2010-03-16,3.6807499527931213
2010-03-17,3.6424999833106995
2010-03-18,3.650749981403351
2010-03-19,3.6827499866485596
2010-03-22,3.6759999990463257
2010-03-23,3.668500065803528
2010-03-24,3.7822499871253967
2010-03-25,3.875249981880188
2010-03-26,3.8707499504089355
2010-03-29,3.8677499890327454
2010-03-30,3.872249960899353
2010-03-31,3.830999970436096
2010-04-01,3.862249970436096
2010-04-05,3.9794999957084656
2010-04-06,3.959249973297119
2010-04-07,3.90924996137619
2010-04-08,3.872250020503998
2010-04-09,3.8975000381469727
2010-04-12,3.8704999685287476
2010-04-13,3.8225000500679016
2010-04-14,3.8387500047683716
2010-04-15,3.8547500371932983
2010-04-16,3.796999990940094
2010-04-19,3.78849995136261
2010-04-20,3.8109999895095825
2010-04-21,3.7639999985694885
2010-04-22,3.7482500672340393
2010-04-23,3.8134999871253967
2010-04-26,3.80349999666214
2010-04-27,3.730500102043152
2010-04-28,3.7479999661445618
2010-04-29,3.752499997615814
2010-04-30,3.7042500376701355
2010-05-03,3.700249969959259
2010-05-04,3.6294999718666077
2010-05-05,3.5422499775886536
2010-05-06,3.4539999961853027
2010-05-07,3.4262499809265137
2010-05-10,3.5540000200271606
2010-05-11,3.5237499475479126
2010-05-12,3.5605000257492065
2010-05-13,3.5669999718666077
2010-05-14,3.4665000438690186
2010-05-17,3.4487498998641968
2010-05-18,3.4332499504089355
2010-05-19,3.3600000143051147
2010-05-20,3.2619999647140503
2010-05-21,3.177000045776367
2010-05-24,3.2045000195503235
2010-05-25,3.1417499780654907
2010-05-26,3.2337499856948853
2010-05-27,3.3067500591278076
2010-05-28,3.318000018596649
2010-06-01,3.272000014781952
2010-06-02,3.3045000433921814
2010-06-03,3.3867499828338623
2010-06-04,3.2664999961853027
2010-06-07,3.2072499990463257
2010-06-08,3.1735000014305115
2010-06-09,3.2070000767707825
2010-06-10,3.2637500166893005
2010-06-11,3.259500026702881
2010-06-14,3.291000008583069
2010-06-15,3.284499943256378
2010-06-16,3.27224999666214
2010-06-17,3.2295000553131104
2010-06-18,3.2135000228881836
2010-06-21,3.2705000042915344
2010-06-22,3.1954999566078186
2010-06-23,3.143750011920929
2010-06-24,3.1014999747276306
2010-06-25,3.1237499713897705
2010-06-28,3.0634999871253967
2010-06-29,2.9794999957084656
2010-06-30,2.959999978542328
2010-07-01,2.9209999442100525
2010-07-02,2.955749988555908
2010-07-06,2.955999970436096
2010-07-07,2.9510000348091125
2010-07-08,3.0177500247955322
2010-07-09,3.0445000529289246
2010-07-12,3.0392499566078186
2010-07-13,3.0945000052452087
2010-07-14,3.0770000219345093
2010-07-15,3.0232499837875366
2010-07-16,2.9622499346733093
2010-07-19,2.95250004529953
2010-07-20,2.924999952316284
2010-07-21,2.9265000224113464
2010-07-22,2.92425000667572
2010-07-23,2.974749982357025
2010-07-26,3.0
2010-07-27,3.0407499074935913
2010-07-28,3.0235000252723694
2010-07-29,2.9982500076293945
2010-07-30,2.931000053882599
2010-08-02,2.9487500190734863
2010-08-03,2.9142500162124634
2010-08-04,2.9229999780654907
2010-08-05,2.929249942302704
2010-08-06,2.8679999709129333
2010-08-09,2.8230000138282776
2010-08-10,2.793999969959259
2010-08-11,2.7077500224113464
2010-08-12,2.7272499799728394
2010-08-13,2.7035000324249268
2010-08-16,2.5985000133514404
2010-08-17,2.625499963760376
2010-08-18,2.6169999837875366
2010-08-19,2.6174999475479126
2010-08-20,2.5830000042915344
2010-08-23,2.618750035762787
2010-08-24,2.5097500681877136
2010-08-25,2.490000009536743
2010-08-26,2.5139999985694885
2010-08-27,2.5772500038146973
2010-08-30,2.5695000290870667
2010-08-31,2.490499973297119
2010-09-01,2.5477499961853027
2010-09-02,2.6110000014305115
2010-09-03,2.694000005722046
2010-09-07,2.630500018596649
2010-09-08,2.6485000252723694
2010-09-09,2.7197499871253967
2010-09-10,2.793500006198883
2010-09-13,2.7839999198913574
2010-09-14,2.7022500038146973
2010-09-15,2.7097500562667847
2010-09-16,2.7364999651908875
