date,price
2010-01-04,1113.6999816894531
2010-01-05,1119.4249877929688
2010-01-06,1132.9249877929688
2010-01-07,1132.1249694824219
2010-01-08,1134.324951171875
2010-01-11,1151.3999633789062
2010-01-12,1135.5499877929688
2010-01-13,1132.5500183105469
2010-01-14,1139.5750122070312
2010-01-15,1130.875
2010-01-19,1137.3999633789062
2010-01-20,1119.6000366210938
2010-01-21,1100.7749633789062
2010-01-22,1089.1999816894531
2010-01-25,1095.199951171875
2010-01-26,1097.9000244140625
2010-01-27,1084.4000244140625
2010-01-28,1085.0749816894531
2010-01-29,1083.3250122070312
2010-02-01,1092.3500366210938
2010-02-02,1113.375
2010-02-03,1115.1750183105469
2010-02-04,1085.5249938964844
2010-02-05,1054.5249633789062
2010-02-08,1066.5999755859375
2010-02-09,1074.6249694824219
2010-02-10,1074.0000305175781
2010-02-11,1085.9249877929688
2010-02-12,1087.7000122070312
2010-02-16,1112.8500366210938
2010-02-17,1118.625
2010-02-18,1115.125
2010-02-19,1117.125
2010-02-22,1115.6499938964844
2010-02-23,1110.0
2010-02-24,1096.5
2010-02-25,1103.125
2010-02-26,1112.550048828125
2010-03-01,1118.1500244140625
2010-03-02,1131.7250061035156
2010-03-03,1141.0249633789062
2010-03-04,1133.1999816894531
2010-03-05,1134.800048828125
2010-03-08,1123.5999755859375
2010-03-09,1120.2749938964844
2010-03-10,1112.4000244140625
2010-03-11,1108.0
2010-03-12,1105.0750122070312
2010-03-15,1104.6749877929688
2010-03-16,1121.4749755859375
2010-03-17,1124.3500061035156
2010-03-18,1125.9250183105469
2010-03-19,1107.4000244140625
2010-03-22,1099.300048828125
2010-03-23,1103.5
2010-03-24,1088.7749938964844
2010-03-25,1091.199951171875
2010-03-26,1104.199951171875
2010-03-29,1110.300048828125
2010-03-30,1107.0499877929688
2010-03-31,1109.2749938964844
2010-04-01,1122.2999877929688
2010-04-05,1127.1000366210938
2010-04-06,1131.7749938964844
2010-04-07,1147.5500183105469
2010-04-08,1150.1749877929688
2010-04-09,1159.375
2010-04-12,1161.6999816894531
2010-04-13,1151.9000244140625
2010-04-14,1157.4499816894531
2010-04-15,1157.0
2010-04-16,1140.7500305175781
2010-04-19,1132.8749694824219
2010-04-20,1139.75
2010-04-21,1146.1999816894531
2010-04-22,1140.5500183105469
2010-04-23,1153.0999755859375
2010-04-26,1156.2749938964844
2010-04-27,1158.4499816894531
2010-04-28,1171.300048828125
2010-04-29,1168.0
2010-04-30,1177.875
2010-05-03,1181.5249938964844
2010-05-04,1174.3250122070312
2010-05-05,1171.3999633789062
2010-05-06,1195.0750122070312
2010-05-07,1206.3500061035156
2010-05-10,1198.4500122070312
2010-05-11,1218.7000122070312
2010-05-12,1239.7499694824219
2010-05-13,1233.2000122070312
2010-05-14,1227.4000244140625
2010-05-17,1230.5249938964844
2010-05-18,1213.2250061035156
2010-05-19,1192.5999755859375
2010-05-20,1186.7000427246094
2010-05-21,1175.699951171875
2010-05-24,1193.800048828125
2010-05-25,1197.8000183105469
2010-05-26,1213.300048828125
2010-05-27,1211.875
2010-05-28,1209.625
2010-06-01,1221.7750244140625
2010-06-02,1220.0499877929688
2010-06-03,1210.4000244140625
2010-06-04,1210.2749938964844
2010-06-07,1233.5750122070312
2010-06-08,1242.9249877929688
2010-06-09,1231.4249877929688
2010-06-10,1225.5500183105469
2010-06-11,1226.3500061035156
2010-06-14,1224.2249755859375
2010-06-15,1228.5499877929688
2010-06-16,1229.300048828125
2010-06-17,1241.6000061035156
2010-06-18,1252.3249816894531
2010-06-21,1248.4750061035156
2010-06-22,1238.6750183105469
2010-06-23,1235.0
2010-06-24,1240.1749877929688
2010-06-25,1250.7749938964844
2010-06-28,1238.199951171875
2010-06-29,1239.375
2010-06-30,1243.4749755859375
2010-07-01,1214.8750305175781
2010-07-02,1205.3000183105469
2010-07-06,1201.1000366210938
2010-07-07,1198.5999755859375
2010-07-08,1196.050048828125
2010-07-09,1206.7999877929688
2010-07-12,1198.5
2010-07-13,1212.3000183105469
2010-07-14,1208.7500305175781
2010-07-15,1208.0999755859375
2010-07-16,1188.0
2010-07-19,1181.3999633789062
2010-07-20,1191.5
2010-07-21,1190.4499816894531
2010-07-22,1195.3500061035156
2010-07-23,1190.4249572753906
2010-07-26,1183.0
2010-07-27,1158.0
2010-07-28,1160.4000244140625
2010-07-29,1165.0249938964844
2010-07-30,1174.7499694824219
2010-08-02,1183.3250122070312
2010-08-03,1185.2249755859375
2010-08-04,1192.3250122070312
2010-08-05,1195.9249877929688
2010-08-06,1203.2500305175781
2010-08-09,1203.9500122070312
2010-08-10,1197.4749755859375
2010-08-11,1199.0
2010-08-12,1211.0250244140625
2010-08-13,1214.9000244140625
2010-08-16,1223.1000061035156
2010-08-17,1226.1499938964844
2010-08-18,1227.2499694824219
2010-08-19,1233.5000305175781
2010-08-20,1227.5499877929688
2010-08-23,1226.4000244140625
2010-08-24,1227.2750244140625
2010-08-25,1237.5999755859375
2010-08-26,1237.2750244140625
2010-08-27,1236.0
2010-08-30,1236.5249938964844
2010-08-31,1244.7500305175781
2010-09-01,1247.6250305175781
2010-09-02,1250.6000061035156
2010-09-03,1246.8999633789062
2010-09-07,1257.0250244140625
2010-09-08,1256.5249633789062
2010-09-09,1249.4750061035156
2010-09-10,1244.5
2010-09-13,1245.0999755859375
2010-09-14,1266.2999877929688
2010-09-15,1266.6499938964844
2010-09-16,1271.9249877929688
2010-09-17,1276.1499938964844
2010-09-20,1279.75
2010-09-21,1276.6000366210938
2010-09-22,1290.199951171875
