date,rate
2010-01-01,1.0350250005722046
2010-01-04,1.0333249866962433
2010-01-05,1.0308749973773956
2010-01-06,1.0309749841690063
2010-01-07,1.0304999947547913
2010-01-08,1.0292500257492065
2010-01-11,1.017600029706955
2010-01-12,1.0177000164985657
2010-01-13,1.0179000198841095
2010-01-14,1.0186749994754791
2010-01-15,1.0225299894809723
2010-01-18,1.0255749821662903
2010-01-19,1.0287500023841858
2010-01-20,1.0386749804019928
2010-01-21,1.0437499582767487
2010-01-22,1.0414250195026398
2010-01-25,1.0399999916553497
2010-01-26,1.0431199967861176
2010-01-27,1.0480999946594238
2010-01-28,1.051025003194809
2010-01-29,1.0559749901294708
2010-02-01,1.0585749745368958
2010-02-02,1.0565000176429749
2010-02-03,1.0555750131607056
2010-02-04,1.0622000098228455
2010-02-05,1.0704749822616577
2010-02-08,1.0733250081539154
2010-02-09,1.0684499740600586
2010-02-10,1.066400021314621
2010-02-11,1.0694250166416168
2010-02-12,1.0746749937534332
2010-02-15,1.0769250094890594
2010-02-16,1.0718499720096588
2010-02-17,1.0718449652194977
2010-02-18,1.0822100043296814
2010-02-19,1.081974983215332
2010-02-22,1.0756250023841858
2010-02-23,1.078350007534027
2010-02-24,1.0802675187587738
2010-02-25,1.0819250047206879
2010-02-26,1.0762499868869781
2010-03-01,1.077650010585785
2010-03-02,1.0788000226020813
2010-03-03,1.0706999897956848
2010-03-04,1.0726500153541565
2010-03-05,1.076550006866455
2010-03-08,1.0722000002861023
2010-03-09,1.0751549899578094
2010-03-10,1.0730750262737274
2010-03-11,1.0697675049304962
2010-03-12,1.062749981880188
2010-03-15,1.0603499710559845
2010-03-16,1.058124989271164
2010-03-17,1.0540000200271606
2010-03-18,1.057209998369217
2010-03-19,1.0587249994277954
2010-03-22,1.060164988040924
2010-03-23,1.0582375228404999
2010-03-24,1.0645000040531158
2010-03-25,1.0714049935340881
2010-03-26,1.0681900084018707
2010-03-29,1.063510000705719
2010-03-30,1.063682496547699
2010-03-31,1.0591650307178497
2010-04-01,1.0528375208377838
2010-04-02,1.058329999446869
2010-04-05,1.0613999962806702
2010-04-06,1.065960019826889
2010-04-07,1.0711774826049805
2010-04-08,1.0740900337696075
2010-04-09,1.0701749920845032
2010-04-12,1.0585750043392181
2010-04-13,1.0566499829292297
2010-04-14,1.0527649819850922
2010-04-15,1.054797500371933
2010-04-16,1.0591500103473663
2010-04-19,1.0637999773025513
2010-04-20,1.0650949776172638
2010-04-21,1.069000005722046
2010-04-22,1.074242502450943
2010-04-23,1.0770249962806702
2010-04-26,1.0730900168418884
2010-04-27,1.0796849727630615
2010-04-28,1.0866125226020813
2010-04-29,1.0835750102996826
2010-04-30,1.0790500044822693
2010-05-03,1.0814799964427948
2010-05-04,1.0946700274944305
2010-05-05,1.111032485961914
2010-05-06,1.114472508430481
2010-05-07,1.1118000149726868
2010-05-10,1.1039125323295593
2010-05-11,1.1095400154590607
2010-05-12,1.1102349758148193
2010-05-13,1.1136500239372253
2010-05-14,1.1246750056743622
2010-05-17,1.1343975067138672
2010-05-18,1.1399499475955963
2010-05-19,1.1507824957370758
2010-05-20,1.151214987039566
2010-05-21,1.1500974893569946
2010-05-24,1.1552325189113617
2010-05-25,1.159482479095459
2010-05-26,1.1576949656009674
2010-05-27,1.156704992055893
2010-05-28,1.1549000144004822
2010-05-31,1.1567250192165375
2010-06-01,1.1580550372600555
2010-06-02,1.1558000147342682
2010-06-03,1.1546249687671661
2010-06-04,1.1568524539470673
2010-06-07,1.1628875136375427
2010-06-08,1.1568600237369537
2010-06-09,1.1492975056171417
2010-06-10,1.1453199982643127
2010-06-11,1.1467250287532806
2010-06-14,1.1425025165081024
2010-06-15,1.1383625268936157
2010-06-16,1.1307750046253204
2010-06-17,1.1211774945259094
2010-06-18,1.110025018453598
2010-06-21,1.1074774861335754
2010-06-22,1.1082824766635895
2010-06-23,1.1068899929523468
2010-06-24,1.1028600335121155
2010-06-25,1.0976324677467346
2010-06-28,1.0887500047683716
2010-06-29,1.0848600268363953
2010-06-30,1.0800874829292297
2010-07-01,1.0687374770641327
2010-07-02,1.0627300143241882
2010-07-05,1.064137488603592
2010-07-06,1.061599999666214
2010-07-07,1.0565762519836426
2010-07-08,1.0514850318431854
2010-07-09,1.0537749826908112
2010-07-12,1.059562474489212
2010-07-13,1.057842493057251
2010-07-14,1.0547049939632416
2010-07-15,1.0471250116825104
2010-07-16,1.0465975105762482
2010-07-19,1.0513499975204468
2010-07-20,1.0516687333583832
2010-07-21,1.0511424839496613
2010-07-22,1.0457000136375427
2010-07-23,1.0480999946594238
2010-07-26,1.0508599877357483
2010-07-27,1.0553525388240814
2010-07-28,1.0553662478923798
2010-07-29,1.048027515411377
2010-07-30,1.0408525168895721
2010-08-02,1.0404199957847595
2010-08-03,1.0386525094509125
2010-08-04,1.0423499941825867
2010-08-05,1.0505000054836273
2010-08-06,1.0437725186347961
2010-08-09,1.0401500165462494
2010-08-10,1.0516999661922455
2010-08-11,1.0507000088691711
2010-08-12,1.0565299987792969
2010-08-13,1.050570011138916
2010-08-16,1.0471850037574768
2010-08-17,1.0398424863815308
2010-08-18,1.0427174866199493
2010-08-19,1.0391400158405304
2010-08-20,1.0332675278186798
2010-08-23,1.0352374911308289
2010-08-24,1.0391250252723694
2010-08-25,1.0303249955177307
2010-08-26,1.028127521276474
2010-08-27,1.0250750184059143
2010-08-30,1.0279074907302856
2010-08-31,1.0224150121212006
2010-09-01,1.0133900046348572
2010-09-02,1.0145024955272675
2010-09-03,1.0152249932289124
