date,price
2010-01-04,1124.9950256347656
2010-01-05,1133.8675231933594
2010-01-06,1136.4974670410156
2010-01-07,1137.9349670410156
2010-01-08,1141.7774963378906
2010-01-11,1146.1749877929688
2010-01-12,1138.9025268554688
2010-01-13,1141.1425476074219
2010-01-14,1147.0875244140625
2010-01-15,1140.7275085449219
2010-01-19,1143.1199951171875
2010-01-20,1140.7974853515625
2010-01-21,1127.8949890136719
2010-01-22,1103.2300109863281
2010-01-25,1096.1375122070312
2010-01-26,1095.3800048828125
2010-01-27,1093.0149841308594
2010-01-28,1090.0350036621094
2010-01-29,1082.3799743652344
2010-02-01,1081.5874938964844
2010-02-02,1096.5149841308594
2010-02-03,1098.6600036621094
2010-02-04,1080.0975036621094
2010-02-05,1060.4849853515625
2010-02-08,1062.489990234375
2010-02-09,1067.4800415039062
2010-02-10,1067.7050170898438
2010-02-11,1071.5499877929688
2010-02-12,1073.0599975585938
2010-02-16,1087.2000122070312
2010-02-17,1097.8500061035156
2010-02-18,1102.875
2010-02-19,1106.9700317382812
2010-02-22,1108.9200134277344
2010-02-23,1100.7124938964844
2010-02-24,1100.7625122070312
2010-02-25,1098.4249877929688
2010-02-26,1103.0975036621094
2010-03-01,1110.6349792480469
2010-03-02,1118.822509765625
2010-03-03,1120.0924987792969
2010-03-04,1120.6199951171875
2010-03-05,1132.0799865722656
2010-03-08,1138.6800231933594
2010-03-09,1139.5700073242188
2010-03-10,1143.5449829101562
2010-03-11,1145.8574829101562
2010-03-12,1150.5199890136719
2010-03-15,1147.8674926757812
2010-03-16,1155.22998046875
2010-03-17,1163.9824523925781
2010-03-18,1165.2225036621094
2010-03-19,1162.7774963378906
2010-03-22,1160.9400024414062
2010-03-23,1169.7974853515625
2010-03-24,1169.8674926757812
2010-03-25,1170.3849792480469
2010-03-26,1167.3949890136719
2010-03-29,1170.8724670410156
2010-03-30,1173.4425048828125
2010-03-31,1170.3775329589844
2010-04-01,1175.3624877929688
2010-04-05,1183.1474609375
2010-04-06,1187.5050048828125
2010-04-07,1184.3824768066406
2010-04-08,1182.9649963378906
2010-04-09,1190.9125061035156
2010-04-12,1196.3324584960938
2010-04-13,1195.2749938964844
2010-04-14,1204.6699829101562
2010-04-15,1211.2150268554688
2010-04-16,1199.8100280761719
2010-04-19,1192.7825317382812
2010-04-20,1203.45751953125
2010-04-21,1205.7349853515625
2010-04-22,1202.9125061035156
2010-04-23,1211.8825073242188
2010-04-26,1214.9974975585938
2010-04-27,1196.6575012207031
2010-04-28,1188.2025146484375
2010-04-29,1200.6850280761719
2010-04-30,1196.9424743652344
2010-05-03,1196.1374816894531
2010-05-04,1184.1799926757812
2010-05-05,1167.302490234375
2010-05-06,1131.4750061035156
2010-05-07,1116.8000183105469
2010-05-10,1142.0299987792969
2010-05-11,1157.5924987792969
2010-05-12,1163.8500366210938
2010-05-13,1164.2974853515625
2010-05-14,1144.0499877929688
2010-05-17,1132.5749816894531
2010-05-18,1131.3600158691406
2010-05-19,1114.8875122070312
2010-05-20,1089.4624633789062
2010-05-21,1075.2525024414062
2010-05-24,1080.2699890136719
2010-05-25,1064.2450256347656
2010-05-26,1074.9499816894531
2010-05-27,1088.780029296875
2010-05-28,1094.8424987792969
2010-06-01,1080.6675109863281
2010-06-02,1085.4950256347656
2010-06-03,1099.7825012207031
2010-06-04,1080.5600280761719
2010-06-07,1059.3824768066406
2010-06-08,1054.5325317382812
2010-06-09,1062.1074829101562
2010-06-10,1073.0574951171875
2010-06-11,1085.9049987792969
2010-06-14,1094.8925170898438
2010-06-15,1103.3099670410156
2010-06-16,1113.625
2010-06-17,1113.9024963378906
2010-06-18,1117.1525268554688
2010-06-21,1118.864990234375
2010-06-22,1105.4725341796875
2010-06-23,1093.1400146484375
2010-06-24,1081.7875061035156
2010-06-25,1075.8275146484375
2010-06-28,1076.5299682617188
2010-06-29,1054.6549987792969
2010-06-30,1036.9199829101562
2010-07-01,1025.739974975586
2010-07-02,1024.7774963378906
2010-07-06,1029.25
2010-07-07,1044.5600280761719
2010-07-08,1065.6650085449219
2010-07-09,1073.6799926757812
2010-07-12,1076.802490234375
2010-07-13,1089.0249938964844
2010-07-14,1094.385009765625
2010-07-15,1092.5325012207031
2010-07-16,1078.9749755859375
2010-07-19,1068.4774780273438
2010-07-20,1072.2074890136719
2010-07-21,1077.6174926757812
2010-07-22,1083.8625183105469
2010-07-23,1096.6100158691406
2010-07-26,1108.5525207519531
2010-07-27,1115.4824829101562
2010-07-28,1109.1849975585938
2010-07-29,1104.5799865722656
2010-07-30,1098.6224670410156
2010-08-02,1117.0550231933594
2010-08-03,1121.9999694824219
2010-08-04,1124.1275024414062
2010-08-05,1124.2400512695312
2010-08-06,1118.4850158691406
2010-08-09,1125.1850280761719
2010-08-10,1120.6800231933594
2010-08-11,1102.9500122070312
2010-08-12,1082.1249694824219
2010-08-13,1081.6799926757812
2010-08-16,1077.2449951171875
2010-08-17,1088.7500305175781
2010-08-18,1092.9425048828125
2010-08-19,1082.79248046875
2010-08-20,1071.7149963378906
2010-08-23,1072.344970703125
2010-08-24,1056.2374877929688
2010-08-25,1050.8799743652344
2010-08-26,1052.5874938964844
2010-08-27,1054.6924743652344
2010-08-30,1056.2525329589844
2010-08-31,1048.0574951171875
2010-09-01,1065.2575073242188
2010-09-02,1085.3125
2010-09-03,1099.2074890136719
2010-09-07,1097.0474853515625
2010-09-08,1096.7124938964844
2010-09-09,1104.1875305175781
2010-09-10,1107.2300109863281
2010-09-13,1118.1325073242188
2010-09-14,1121.2999877929688
